TestName	seed	FacLoc	FacScale	CellN	deProb	deDown	Rep	Test
6770_0_0_500_0.75_0.5	6770	0.8	0.4	500	0.75	0.5	5	22
6605_0_0_500_1_0.5	6605	0.8	0.4	500	1	0.5	1	23
8567_0_0_500_1_0.5	8567	0.8	0.4	500	1	0.5	2	23
3417_0_0_500_1_0.5	3417	0.8	0.4	500	1	0.5	3	23
6003_0_0_500_1_0.5	6003	0.8	0.4	500	1	0.5	4	23
3412_0_0_500_1_0.5	3412	0.8	0.4	500	1	0.5	5	23
366_0_0_500_0.25_0.01	366	0.8	0.4	500	0.25	0.01	1	24
9569_0_0_500_0.25_0.01	9569	0.8	0.4	500	0.25	0.01	2	24
3495_0_0_500_0.25_0.01	3495	0.8	0.4	500	0.25	0.01	3	24
2906_0_0_500_0.25_0.01	2906	0.8	0.4	500	0.25	0.01	4	24
3546_0_0_500_0.25_0.01	3546	0.8	0.4	500	0.25	0.01	5	24
2678_0_0_500_0.25_0.05	2678	0.8	0.4	500	0.25	0.05	1	25
5620_0_0_500_0.25_0.05	5620	0.8	0.4	500	0.25	0.05	2	25
2370_0_0_500_0.25_0.05	2370	0.8	0.4	500	0.25	0.05	3	25
640_0_0_500_0.25_0.05	640	0.8	0.4	500	0.25	0.05	4	25
2929_0_0_500_0.25_0.05	2929	0.8	0.4	500	0.25	0.05	5	25
4852_0_0_500_0.25_0.1	4852	0.8	0.4	500	0.25	0.1	1	26
5136_0_0_500_0.25_0.1	5136	0.8	0.4	500	0.25	0.1	2	26
717_0_0_500_0.25_0.1	717	0.8	0.4	500	0.25	0.1	3	26
9466_0_0_500_0.25_0.1	9466	0.8	0.4	500	0.25	0.1	4	26
1510_0_0_500_0.25_0.1	1510	0.8	0.4	500	0.25	0.1	5	26
8853_0_0_500_0.25_0.25	8853	0.8	0.4	500	0.25	0.25	1	27
8752_0_0_500_0.25_0.25	8752	0.8	0.4	500	0.25	0.25	2	27
364_0_0_500_0.25_0.25	364	0.8	0.4	500	0.25	0.25	3	27
6996_0_0_500_0.25_0.25	6996	0.8	0.4	500	0.25	0.25	4	27
4405_0_0_500_0.25_0.25	4405	0.8	0.4	500	0.25	0.25	5	27
1351_0_0_500_0.25_0.5	1351	0.8	0.4	500	0.25	0.5	1	28
4602_0_0_500_0.25_0.5	4602	0.8	0.4	500	0.25	0.5	2	28
4001_0_0_500_0.25_0.5	4001	0.8	0.4	500	0.25	0.5	3	28
804_0_0_500_0.25_0.5	804	0.8	0.4	500	0.25	0.5	4	28
8999_0_0_500_0.25_0.5	8999	0.8	0.4	500	0.25	0.5	5	28
6842_0_0_500_0.25_0.75	6842	0.8	0.4	500	0.25	0.75	1	29
8664_0_0_500_0.25_0.75	8664	0.8	0.4	500	0.25	0.75	2	29
9405_0_0_500_0.25_0.75	9405	0.8	0.4	500	0.25	0.75	3	29
8180_0_0_500_0.25_0.75	8180	0.8	0.4	500	0.25	0.75	4	29
3263_0_0_500_0.25_0.75	3263	0.8	0.4	500	0.25	0.75	5	29
3705_0_0_500_0.25_0.9	3705	0.8	0.4	500	0.25	0.9	1	30
7589_0_0_500_0.25_0.9	7589	0.8	0.4	500	0.25	0.9	2	30
8808_0_0_500_0.25_0.9	8808	0.8	0.4	500	0.25	0.9	3	30
7979_0_0_500_0.25_0.9	7979	0.8	0.4	500	0.25	0.9	4	30
3589_0_0_500_0.25_0.9	3589	0.8	0.4	500	0.25	0.9	5	30
6065_0_0_500_0.25_0.95	6065	0.8	0.4	500	0.25	0.95	1	31
878_0_0_500_0.25_0.95	878	0.8	0.4	500	0.25	0.95	2	31
2483_0_0_500_0.25_0.95	2483	0.8	0.4	500	0.25	0.95	3	31
948_0_0_500_0.25_0.95	948	0.8	0.4	500	0.25	0.95	4	31
5286_0_0_500_0.25_0.95	5286	0.8	0.4	500	0.25	0.95	5	31
4495_0_0_500_0.25_1	4495	0.8	0.4	500	0.25	1	1	32
5395_0_0_500_0.25_1	5395	0.8	0.4	500	0.25	1	2	32
1937_0_0_500_0.25_1	1937	0.8	0.4	500	0.25	1	3	32
3273_0_0_500_0.25_1	3273	0.8	0.4	500	0.25	1	4	32
2055_0_0_500_0.25_1	2055	0.8	0.4	500	0.25	1	5	32
809_0_0_500_0.25_0	809	0.8	0.4	500	0.25	0	1	33
1097_0_0_500_0.25_0	1097	0.8	0.4	500	0.25	0	2	33
9451_0_0_500_0.25_0	9451	0.8	0.4	500	0.25	0	3	33
6142_0_0_500_0.25_0	6142	0.8	0.4	500	0.25	0	4	33
5174_0_0_500_0.25_0	5174	0.8	0.4	500	0.25	0	5	33
9937_1_1_500_0.25_0.5	9937	1	1	500	0.25	0.5	1	34
2243_1_1_500_0.25_0.5	2243	1	1	500	0.25	0.5	2	34
621_1_1_500_0.25_0.5	621	1	1	500	0.25	0.5	3	34
4919_1_1_500_0.25_0.5	4919	1	1	500	0.25	0.5	4	34
1297_1_1_500_0.25_0.5	1297	1	1	500	0.25	0.5	5	34
2774_1_1_500_0.25_0.5	2774	1	1	500	0.25	0.5	6	34
5538_1_1_500_0.25_0.5	5538	1	1	500	0.25	0.5	7	34
9463_1_1_500_0.25_0.5	9463	1	1	500	0.25	0.5	8	34
4497_1_1_500_0.25_0.5	4497	1	1	500	0.25	0.5	9	34
304_1_1_500_0.25_0.5	304	1	1	500	0.25	0.5	10	34
1877_0.2_0.8_500_0.25_0.5	1877	0.2	0.8	500	0.25	0.5	1	35
9641_0.2_0.8_500_0.25_0.5	9641	0.2	0.8	500	0.25	0.5	2	35
5875_0.2_0.8_500_0.25_0.5	5875	0.2	0.8	500	0.25	0.5	3	35
5626_0.2_0.8_500_0.25_0.5	5626	0.2	0.8	500	0.25	0.5	4	35
1103_0.2_0.8_500_0.25_0.5	1103	0.2	0.8	500	0.25	0.5	5	35
5544_0.2_0.8_500_0.25_0.5	5544	0.2	0.8	500	0.25	0.5	6	35
5370_0.2_0.8_500_0.25_0.5	5370	0.2	0.8	500	0.25	0.5	7	35
1520_0.2_0.8_500_0.25_0.5	1520	0.2	0.8	500	0.25	0.5	8	35
6942_0.2_0.8_500_0.25_0.5	6942	0.2	0.8	500	0.25	0.5	9	35
4073_0.2_0.8_500_0.25_0.5	4073	0.2	0.8	500	0.25	0.5	10	35
2887_-1_0.4_500_0.25_0.5	2889	-1	0.4	500	0.25	0.5	1	36
1318_-1_0.4_500_0.25_0.5	1318	-1	0.4	500	0.25	0.5	2	36
8978_-1_0.4_500_0.25_0.5	8978	-1	0.4	500	0.25	0.5	3	36
21_-1_0.4_500_0.25_0.5	21	-1	0.4	500	0.25	0.5	4	36
7850_-1_0.4_500_0.25_0.5	7850	-1	0.4	500	0.25	0.5	5	36
4017_-0.5_0.4_500_0.25_0.5	4017	-0.5	0.4	500	0.25	0.5	1	37
5407_-0.5_0.4_500_0.25_0.5	5407	-0.5	0.4	500	0.25	0.5	2	37
245_-0.5_0.4_500_0.25_0.5	245	-0.5	0.4	500	0.25	0.5	3	37
6316_-0.5_0.4_500_0.25_0.5	6316	-0.5	0.4	500	0.25	0.5	4	37
2519_-0.5_0.4_500_0.25_0.5	2519	-0.5	0.4	500	0.25	0.5	5	37
9416_0.5_0.4_500_0.25_0.5	9416	0.5	0.4	500	0.25	0.5	1	38
